Drug1,Drug2,Increase Activity Interaction,Decrease Activity Interaction,Increase Effect Interaction,Decrease Effect Interaction,Increase Efficacy Interaction,Decrease Efficacy Interaction,Other Interaction
DB09245,DB05271,1,0,0,0,0,0,0
DB09245,DB09247,0,0,1,0,0,0,0
DB09245,DB01079,0,0,1,0,0,0,0
DB09245,DB04896,1,0,0,0,0,0,0
DB09245,DB09244,0,0,1,0,0,0,0
DB09245,DB00601,0,0,1,0,0,0,0
DB09245,DB09187,0,0,1,0,0,0,0
DB09245,DB09307,1,0,0,0,0,0,0
DB09245,DB00508,0,0,1,0,0,0,0
DB09245,DB01151,1,0,0,0,0,0,0
DB09245,DB13225,1,0,0,0,0,0,0
DB09245,DB00865,1,0,0,0,0,0,0
DB09245,DB00589,0,0,0,0,0,0,1
DB09245,DB13940,1,0,0,0,0,0,0
DB09245,DB13550,0,0,1,0,0,0,0
DB09245,DB00933,0,0,1,0,0,0,0
DB09245,DB09042,0,0,0,0,0,0,0
DB09245,DB00715,1,0,0,0,0,0,0
DB09245,DB06684,0,0,0,0,0,0,1
DB09245,DB06654,0,0,1,0,0,0,0
DB09245,DB01242,1,0,0,0,0,0,0
DB09245,DB08953,1,0,0,0,0,0,0
DB09245,DB00780,0,0,1,0,0,0,0
DB09245,DB13876,0,0,1,0,0,0,0
DB09245,DB00904,0,0,1,0,0,0,0
DB09245,DB12833,0,0,1,0,0,0,0
DB09245,DB00752,0,0,1,0,0,0,0
DB09245,DB13114,1,0,0,0,0,0,0
DB09245,DB13273,0,0,1,0,0,0,0
DB09245,DB01392,0,0,1,0,0,0,0
DB09245,DB00952,0,0,0,0,0,0,1
DB09245,DB11859,0,0,1,0,0,0,0
DB09245,DB00837,0,0,1,0,0,0,0
DB09245,DB08059,0,0,1,0,0,0,0
DB09245,DB01238,0,0,0,0,0,0,1
DB09245,DB12163,0,0,1,0,0,0,0
DB09245,DB13875,0,0,1,0,0,0,0
DB09245,DB01104,0,0,1,0,0,0,0
DB09245,DB01142,1,0,0,0,0,0,0
DB09245,DB09185,0,0,1,0,0,0,0
DB09245,DB05542,0,0,1,0,0,0,0
DB09245,DB00721,0,0,1,0,0,0,0
DB09245,DB11686,0,0,1,0,0,0,0
DB09245,DB05607,0,0,1,0,0,0,0
DB09245,DB01622,0,0,1,0,0,0,0
DB09245,DB08839,0,0,1,0,0,0,0
DB09245,DB00875,1,0,0,0,0,0,0
DB09245,DB11699,0,0,1,0,0,0,0
DB09245,DB11675,0,0,1,0,0,0,0
DB09245,DB06077,0,0,1,0,0,0,0
DB09245,DB05316,0,0,0,0,0,0,0
DB09245,DB08996,1,0,0,0,0,0,0
DB09245,DB01626,0,0,1,0,0,0,0
DB09245,DB01191,0,0,1,0,0,0,0
DB09245,DB06506,0,0,0,0,0,0,0
DB09245,DB00751,0,0,1,0,0,0,0
DB09245,DB08811,0,0,1,0,0,0,0
DB09245,DB04829,0,0,1,0,0,0,0
DB09245,DB13384,1,0,0,0,0,0,0
DB09245,DB04946,0,0,1,0,0,0,0
DB09245,DB00408,0,0,1,0,0,0,0
DB09245,DB06700,1,0,0,0,0,0,0
DB09245,DB13246,1,0,0,0,0,0,0
DB09245,DB14185,0,0,1,0,0,0,0
DB09245,DB00434,1,0,0,0,0,0,0
DB09245,DB11732,0,0,1,0,0,0,0
DB09245,DB00206,0,0,1,0,0,0,0
DB09245,DB06204,0,0,1,0,0,0,0
DB09245,DB09023,1,0,0,0,0,0,0
DB09245,DB01367,0,0,1,0,0,0,0
DB09245,DB14754,0,0,1,0,0,0,0
DB09245,DB01224,1,0,0,0,0,0,0
DB09245,DB00216,0,0,1,0,0,0,0
DB09245,DB01616,0,0,1,0,0,0,0
DB09245,DB00458,1,0,0,0,0,0,0
DB09245,DB06582,0,0,1,0,0,0,0
DB09245,DB01577,1,0,0,0,0,0,0
DB09245,DB01445,0,0,0,0,0,0,1
DB09245,DB04832,1,0,0,0,0,0,0
DB09245,DB12465,1,0,0,0,0,0,0
DB09245,DB00490,0,0,1,0,0,0,0
DB09245,DB13014,0,0,1,0,0,0,0
DB09245,DB00477,0,0,1,0,0,0,0
DB09245,DB00656,1,0,0,0,0,0,0
DB09245,DB01149,1,0,0,0,0,0,0
DB09245,DB13352,0,0,1,0,0,0,0
DB09245,DB09184,0,0,1,0,0,0,0
DB09245,DB01049,0,0,1,0,0,0,0
DB09245,DB00924,1,0,0,0,0,0,0
DB09245,DB00285,0,0,1,0,0,0,0
DB09245,DB06660,0,0,1,0,0,0,0
DB09245,DB00969,0,0,1,0,0,0,0
DB09245,DB00866,1,0,0,0,0,0,0
DB09245,DB01356,0,0,1,0,0,0,0
DB09245,DB01247,0,0,1,0,0,0,0
DB09245,DB06731,1,0,0,0,0,0,0
DB09245,DB00321,1,0,0,0,0,0,0
DB09245,DB08550,0,0,1,0,0,0,0
DB09245,DB04917,0,0,1,0,0,0,0
DB09245,DB00777,1,0,0,0,0,0,0
DB09245,DB06216,0,0,1,0,0,0,0
DB09245,DB04871,0,0,1,0,0,0,0
DB09245,DB00714,1,0,0,0,0,0,0
DB09245,DB00476,0,0,1,0,0,0,0
DB09245,DB00420,0,0,1,0,0,0,0
DB09245,DB09014,0,0,1,0,0,0,0
DB09245,DB01621,0,0,1,0,0,0,0
DB09245,DB01069,0,0,1,0,0,0,0
DB09245,DB14509,0,1,0,0,0,0,0
DB09245,DB04599,0,0,1,0,0,0,0
DB09245,DB09241,1,0,0,0,0,0,0
DB09245,DB09249,0,0,1,0,0,0,0
DB09245,DB01614,0,0,1,0,0,0,0
DB09245,DB00377,0,0,1,0,0,0,0
DB09245,DB01359,1,0,0,0,0,0,0
DB09245,DB13520,0,0,1,0,0,0,0
DB09245,DB00248,0,0,0,0,0,0,1
DB09245,DB01954,0,0,1,0,0,0,0
DB09245,DB09253,0,0,1,0,0,0,0
DB09245,DB00679,0,0,1,0,0,0,0
DB09245,DB00669,0,0,0,0,0,0,1
DB09245,DB04842,0,0,1,0,0,0,0
DB09245,DB09251,0,0,1,0,0,0,0
DB09245,DB01267,0,0,1,0,0,0,0
DB09245,DB00614,0,0,1,0,0,0,0
DB09245,DB12661,1,0,0,0,0,0,0
DB09245,DB14010,0,0,0,0,0,0,1
DB09245,DB00604,0,0,1,0,0,0,0
DB09245,DB13219,0,0,1,0,0,0,0
DB09245,DB04885,0,0,1,0,0,0,0
DB09245,DB06109,0,0,1,0,0,0,0
DB09245,DB00540,1,0,0,0,0,0,0
DB09245,DB12427,0,0,1,0,0,0,0
DB09245,DB01454,1,0,0,0,0,0,0
DB09245,DB00889,0,0,1,0,0,0,0
DB09245,DB09186,0,0,1,0,0,0,0
DB09245,DB06512,0,0,1,0,0,0,0
DB09245,DB13457,0,0,1,0,0,0,0
DB09245,DB00953,0,0,0,0,0,0,1
DB09245,DB09061,0,0,0,0,0,0,1
DB09245,DB09248,0,0,1,0,0,0,0
DB09245,DB08810,0,0,0,0,0,0,1
DB09245,DB08918,1,0,0,0,0,0,0
DB09245,DB09254,0,0,1,0,0,0,0
DB09245,DB01171,0,0,1,0,0,0,0
DB09245,DB01200,1,0,0,0,0,0,0
DB09245,DB06153,1,0,0,0,0,0,0
DB09245,DB01037,0,0,1,0,0,0,0
DB09245,DB09225,0,0,1,0,0,0,0
DB09245,DB09167,1,0,0,0,0,0,0
DB09245,DB06148,0,0,1,0,0,0,0
DB09245,DB00315,0,0,1,0,0,0,0
DB09245,DB12110,0,0,1,0,0,0,0
DB09245,DB00234,0,0,1,0,0,0,0
DB09245,DB12111,0,0,1,0,0,0,0
DB09245,DB12071,0,0,1,0,0,0,0
DB09245,DB05227,0,0,1,0,0,0,0
DB09245,DB09290,0,0,1,0,0,0,0
DB09245,DB05562,0,0,0,0,0,0,1
DB09245,DB01175,0,0,1,0,0,0,0
DB09245,DB08815,0,0,1,0,0,0,0
DB09245,DB13496,1,0,0,0,0,0,0
DB09245,DB12930,1,0,0,0,0,0,0
DB09245,DB00320,0,0,0,0,0,0,1
DB09245,DB09190,0,0,1,0,0,0,0
DB09245,DB00543,1,0,0,0,0,0,0
DB09245,DB12229,0,0,1,0,0,0,0
DB09245,DB04908,0,0,0,0,0,0,1
DB09245,DB06701,1,0,0,0,0,0,0
DB09245,DB00574,0,0,1,0,0,0,0
DB09245,DB00805,0,0,1,0,0,0,0
DB09245,DB13588,0,0,1,0,0,0,0
DB09245,DB12395,0,0,1,0,0,0,0
DB09245,DB00514,0,0,1,0,0,0,0
DB09245,DB01442,1,0,0,0,0,0,0
DB09245,DB01168,0,0,1,0,0,0,0
DB09245,DB01484,1,0,0,0,0,0,0
DB09245,DB01403,1,0,0,0,0,0,0
DB09245,DB01253,1,0,0,0,0,0,0
DB09245,DB00960,1,0,0,0,0,0,0
DB09245,DB00454,0,0,1,0,0,0,0
DB09245,DB09250,0,0,1,0,0,0,0
DB09245,DB01114,0,0,1,0,0,0,0
DB09245,DB04820,0,0,1,0,0,0,0
DB09245,DB12951,0,0,1,0,0,0,0
DB09245,DB04836,1,0,0,0,0,0,0
DB13541,DB01105,0,0,1,0,0,0,0
DB13541,DB09068,0,0,1,0,0,0,0
DB13541,DB09128,0,0,1,0,0,0,0
DB13541,DB00247,0,0,1,0,0,0,0
DB13541,DB00333,0,0,1,0,0,0,0
DB13541,DB00246,0,0,1,0,0,0,0
DB13541,DB01488,0,0,1,0,0,0,0
DB13541,DB06144,0,0,1,0,0,0,0
DB13541,DB09195,0,0,0,0,0,0,0
DB13541,DB05395,0,0,0,0,0,0,0
DB13541,DB01623,0,0,1,0,0,0,0
DB13541,DB08927,0,0,1,0,0,0,0
DB13541,DB04017,0,0,1,0,0,0,0
DB13541,DB12177,0,0,1,0,0,0,0
DB13541,DB11823,0,0,1,0,0,0,0
DB13541,DB13411,0,0,1,0,0,0,0
DB13541,DB04884,0,0,1,0,0,0,0
DB13541,DB00193,0,0,1,0,0,0,0
DB13541,DB12184,0,0,1,0,0,0,0
DB13541,DB09223,0,0,1,0,0,0,0
DB13541,DB00370,1,0,0,0,0,0,0
DB13541,DB00546,0,0,1,0,0,0,0
DB13541,DB09289,0,0,1,0,0,0,0
DB13541,DB12725,0,0,1,0,0,0,0
DB13541,DB00363,1,0,0,0,0,0,0
DB13541,DB06446,0,0,1,0,0,0,0
DB13541,DB14507,0,0,0,0,0,0,0
DB13541,DB01323,0,0,1,0,0,0,0
DB13541,DB06678,0,0,1,0,0,0,0
DB13541,DB11889,0,0,1,0,0,0,0
DB13541,DB12361,0,0,1,0,0,0,0
DB13541,DB00918,0,0,1,0,0,0,0
DB13541,DB13233,0,0,1,0,0,0,0
DB13541,DB00215,0,0,1,0,0,0,0
DB13541,DB09246,0,0,1,0,0,0,0
DB13541,DB01618,0,0,1,0,0,0,0
DB13541,DB01537,0,0,0,0,0,0,0
DB13541,DB09194,0,0,1,0,0,0,0
DB13541,DB06016,0,0,1,0,0,0,0
DB13541,DB09286,0,0,1,0,0,0,0
DB13541,DB00757,0,0,1,0,0,0,0
DB13541,DB09252,0,0,1,0,0,0,0
DB13541,DB00334,1,0,0,0,0,0,0
DB13541,DB12883,0,0,1,0,0,0,0
DB13541,DB01186,0,0,1,0,0,0,0
DB13541,DB12693,0,0,1,0,0,0,0
DB13541,DB00734,0,0,1,0,0,0,0
DB13541,DB06594,0,0,1,0,0,0,0
DB13541,DB00726,0,0,1,0,0,0,0
DB13541,DB13782,0,0,1,0,0,0,0
DB13541,DB00998,0,0,1,0,0,0,0
DB13541,DB00813,0,0,1,0,0,0,0
DB13541,DB01156,0,0,1,0,0,0,0
DB13541,DB00696,0,0,1,0,0,0,0
DB13541,DB00934,1,0,0,0,0,0,0
DB13541,DB06288,0,0,1,0,0,0,0
DB13541,DB11957,0,0,1,0,0,0,0
DB13541,DB01624,0,0,1,0,0,0,0
DB13541,DB13948,0,0,1,0,0,0,0
DB13541,DB02959,0,0,1,0,0,0,0
DB13541,DB00344,0,0,1,0,0,0,0
DB13541,DB09226,0,0,1,0,0,0,0
DB13541,DB09016,0,0,1,0,0,0,0
DB13541,DB01239,1,0,0,0,0,0,0
DB13541,DB04821,0,0,1,0,0,0,0
DB13541,DB04818,0,0,1,0,0,0,0
DB13541,DB09243,0,0,1,0,0,0,0
DB13541,DB11755,0,0,1,0,0,0,0
DB13541,DB00391,0,0,1,0,0,0,0
DB13541,DB00579,0,0,1,0,0,0,0
DB13541,DB00472,1,0,0,0,0,0,0
DB13541,DB01509,0,0,1,0,0,0,0
DB13541,DB04948,0,0,0,0,1,0,0
DB13541,DB06480,0,0,0,0,0,0,0
DB13541,DB00176,0,0,1,0,0,0,0
DB13541,DB05271,1,0,0,0,0,0,0
DB13541,DB09247,0,0,1,0,0,0,0
DB13541,DB01079,0,0,0,0,0,0,0
DB13541,DB04896,0,0,1,0,0,0,0
DB13541,DB09244,0,0,1,0,0,0,0
DB13541,DB00601,0,0,0,0,0,0,0
DB13541,DB09187,0,0,1,0,0,0,0
DB13541,DB09307,0,0,1,0,0,0,0
DB13541,DB00508,1,0,0,0,0,0,0
DB13541,DB01151,1,0,0,0,0,0,0
DB13541,DB13225,0,0,1,0,0,0,0
DB13541,DB00865,0,0,1,0,0,0,0
DB13541,DB00589,0,0,1,0,0,0,0
DB13541,DB13940,0,0,1,0,0,0,0
DB13541,DB13550,0,0,1,0,0,0,0
DB13541,DB00933,0,0,1,0,0,0,0
DB13541,DB09042,0,0,0,0,0,0,0
DB13541,DB00715,0,0,1,0,0,0,0
DB13541,DB06684,0,0,1,0,0,0,0
DB13541,DB06654,0,0,1,0,0,0,0
DB13541,DB01242,0,0,1,0,0,0,0
DB13541,DB08953,0,0,1,0,0,0,0
DB13541,DB00780,0,0,1,0,0,0,0
DB13541,DB13876,0,0,1,0,0,0,0
DB13541,DB00904,0,0,1,0,0,0,0
DB13541,DB12833,0,0,1,0,0,0,0
DB13541,DB00752,0,0,1,0,0,0,0
DB13541,DB13114,0,0,1,0,0,0,0
DB13541,DB13273,0,0,1,0,0,0,0
DB13541,DB01392,0,0,1,0,0,0,0
DB13541,DB00952,0,0,1,0,0,0,0
DB13541,DB11859,0,0,1,0,0,0,0
DB13541,DB00837,0,0,1,0,0,0,0
DB13541,DB08059,0,0,1,0,0,0,0
DB13541,DB01238,1,0,0,0,0,0,0
DB13541,DB12163,0,0,1,0,0,0,0
DB13541,DB13875,0,0,1,0,0,0,0
DB13541,DB01104,0,0,1,0,0,0,0
DB13541,DB01142,1,0,0,0,0,0,0
DB13541,DB09185,0,0,1,0,0,0,0
DB13541,DB05542,0,0,1,0,0,0,0
DB13541,DB00721,0,0,1,0,0,0,0
DB13541,DB11686,0,0,1,0,0,0,0
DB13541,DB05607,0,0,1,0,0,0,0
DB13541,DB01622,0,0,1,0,0,0,0
DB13541,DB08839,0,0,1,0,0,0,0
DB13541,DB00875,1,0,0,0,0,0,0
DB13541,DB11699,0,0,1,0,0,0,0
DB13541,DB11675,0,0,1,0,0,0,0
DB13541,DB06077,0,0,1,0,0,0,0
DB13541,DB05316,0,0,0,0,0,0,0
DB13541,DB08996,0,0,1,0,0,0,0
DB13541,DB01626,0,0,1,0,0,0,0
DB13541,DB01191,0,0,0,0,0,0,0
DB13541,DB06506,0,0,0,0,0,0,0
DB13541,DB00751,0,0,1,0,0,0,0
DB13541,DB08811,0,0,1,0,0,0,0
DB13541,DB04829,0,0,1,0,0,0,0
DB13541,DB13384,0,0,1,0,0,0,0
DB13541,DB04946,0,0,1,0,0,0,0
DB13541,DB00408,0,0,1,0,0,0,0
DB13541,DB06700,0,0,1,0,0,0,0
DB13541,DB13246,0,0,1,0,0,0,0
DB13541,DB14185,0,0,1,0,0,0,0
DB13541,DB00434,1,0,0,0,0,0,0
DB13541,DB11732,0,0,1,0,0,0,0
DB13541,DB00206,0,0,1,0,0,0,0
DB13541,DB06204,1,0,0,0,0,0,0
DB13541,DB09023,1,0,0,0,0,0,0
DB13541,DB01367,0,0,1,0,0,0,0
DB13541,DB14754,0,0,1,0,0,0,0
DB13541,DB01224,1,0,0,0,0,0,0
DB13541,DB00216,0,0,1,0,0,0,0
DB13541,DB01616,0,0,1,0,0,0,0
DB13541,DB00458,1,0,0,0,0,0,0
DB13541,DB06582,0,0,1,0,0,0,0
DB13541,DB01577,0,0,1,0,0,0,0
DB13541,DB01445,0,0,1,0,0,0,0
DB13541,DB04832,0,0,1,0,0,0,0
DB13541,DB12465,0,0,1,0,0,0,0
DB13541,DB00490,0,0,1,0,0,0,0
DB13541,DB13014,0,0,1,0,0,0,0
DB13541,DB00477,1,0,0,0,0,0,0
DB13541,DB00656,0,0,1,0,0,0,0
DB13541,DB01149,0,0,1,0,0,0,0
DB13541,DB13352,0,0,1,0,0,0,0
DB13541,DB09184,0,0,1,0,0,0,0
DB13541,DB01049,0,0,1,0,0,0,0
DB13541,DB00924,0,0,1,0,0,0,0
DB13541,DB00285,0,0,1,0,0,0,0
DB13541,DB06660,0,0,1,0,0,0,0
DB13541,DB00969,0,0,1,0,0,0,0
DB13541,DB00866,0,0,1,0,0,0,0
DB13541,DB01356,0,0,1,0,0,0,0
DB13541,DB01247,0,0,1,0,0,0,0
DB13541,DB06731,0,0,1,0,0,0,0
DB13541,DB00321,1,0,0,0,0,0,0
DB13541,DB08550,0,0,1,0,0,0,0
DB13541,DB04917,0,0,1,0,0,0,0
DB13541,DB00777,1,0,0,0,0,0,0
DB13541,DB06216,0,0,1,0,0,0,0
DB13541,DB04871,0,0,1,0,0,0,0
DB13541,DB00714,0,0,1,0,0,0,0
DB13541,DB00476,0,0,1,0,0,0,0
DB13541,DB00420,1,0,0,0,0,0,0
DB13541,DB09014,0,0,1,0,0,0,0
DB13541,DB01621,0,0,1,0,0,0,0
DB13541,DB01069,1,0,0,0,0,0,0
DB13541,DB14509,0,0,1,0,0,0,0
DB13541,DB04599,0,0,1,0,0,0,0
DB13541,DB09241,0,0,1,0,0,0,0
DB13541,DB09249,0,0,1,0,0,0,0
DB13541,DB01614,0,0,1,0,0,0,0
DB13541,DB00377,0,0,1,0,0,0,0
DB13541,DB01359,0,0,1,0,0,0,0
DB13541,DB13520,0,0,1,0,0,0,0
DB13541,DB00248,0,0,1,0,0,0,0
DB13541,DB01954,0,0,1,0,0,0,0
DB13541,DB09253,0,0,1,0,0,0,0
DB13541,DB00679,0,0,1,0,0,0,0
DB13541,DB00669,0,0,1,0,0,0,0
DB13541,DB04842,0,0,1,0,0,0,0
DB13541,DB09251,0,0,1,0,0,0,0
DB13541,DB01267,0,0,1,0,0,0,0
DB13541,DB00614,0,0,1,0,0,0,0
DB13541,DB12661,0,0,1,0,0,0,0
DB13541,DB14010,0,0,1,0,0,0,0
DB13541,DB00604,0,0,1,0,0,0,0
DB13541,DB13219,0,0,1,0,0,0,0
DB13541,DB04885,0,0,1,0,0,0,0
DB13541,DB06109,0,0,1,0,0,0,0
DB13541,DB00540,1,0,0,0,0,0,0
DB13541,DB12427,0,0,1,0,0,0,0
DB13541,DB01454,0,0,1,0,0,0,0
DB13541,DB00889,0,0,1,0,0,0,0
DB13541,DB09186,0,0,1,0,0,0,0
DB13541,DB06512,0,0,1,0,0,0,0
DB13541,DB13457,0,0,1,0,0,0,0
DB13541,DB00953,0,0,1,0,0,0,0
DB13541,DB09061,0,0,1,0,0,0,0
DB13541,DB09248,0,0,1,0,0,0,0
DB13541,DB08810,0,0,1,0,0,0,0
DB13541,DB08918,0,0,1,0,0,0,0
DB13541,DB09254,0,0,1,0,0,0,0
DB13541,DB01171,0,0,1,0,0,0,0
DB13541,DB01200,0,0,1,0,0,0,0
DB13541,DB06153,1,0,0,0,0,0,0
DB13541,DB01037,0,0,1,0,0,0,0
DB13541,DB09225,0,0,1,0,0,0,0
DB13541,DB09167,1,0,0,0,0,0,0
DB13541,DB06148,0,0,1,0,0,0,0
DB13541,DB00315,0,0,1,0,0,0,0
DB13541,DB12110,0,0,1,0,0,0,0
DB13541,DB00234,0,0,1,0,0,0,0
DB13541,DB12111,0,0,1,0,0,0,0
DB13541,DB12071,0,0,1,0,0,0,0
DB13541,DB05227,0,0,1,0,0,0,0
DB13541,DB09290,0,0,1,0,0,0,0
DB13541,DB05562,0,0,1,0,0,0,0
DB13541,DB01175,0,0,1,0,0,0,0
DB13541,DB08815,0,0,1,0,0,0,0
DB13541,DB13496,0,0,1,0,0,0,0
DB13541,DB12930,0,0,1,0,0,0,0
DB13541,DB00320,0,0,1,0,0,0,0
DB13541,DB09190,0,0,1,0,0,0,0
DB13541,DB00543,1,0,0,0,0,0,0
DB13541,DB12229,0,0,1,0,0,0,0
DB13541,DB04908,0,0,1,0,0,0,0
DB13541,DB06701,0,0,1,0,0,0,0
DB13541,DB00574,0,0,1,0,0,0,0
DB13541,DB00805,0,0,1,0,0,0,0
DB13541,DB13588,0,0,1,0,0,0,0
DB13541,DB12395,0,0,1,0,0,0,0
DB13541,DB00514,0,0,1,0,0,0,0
DB13541,DB01442,0,0,1,0,0,0,0
DB13541,DB01168,0,0,1,0,0,0,0
DB13541,DB01484,0,0,1,0,0,0,0
DB13541,DB01403,1,0,0,0,0,0,0
DB13541,DB01253,0,0,1,0,0,0,0
DB13541,DB00960,0,0,1,0,0,0,0
DB13541,DB00454,0,0,1,0,0,0,0
DB13541,DB09250,0,0,1,0,0,0,0
DB13541,DB01114,0,0,1,0,0,0,0
DB13541,DB04820,0,0,1,0,0,0,0
DB13541,DB12951,0,0,1,0,0,0,0
DB13541,DB04836,0,0,1,0,0,0,0
DB01105,DB09068,0,0,1,0,0,0,0
DB01105,DB09128,0,0,1,0,0,0,0
DB01105,DB00247,0,0,1,0,0,0,0
DB01105,DB00333,0,0,1,0,0,0,0
DB01105,DB00246,0,0,1,0,0,0,0
DB01105,DB01488,0,0,1,0,0,0,0
DB01105,DB06144,0,0,1,0,0,0,0
DB01105,DB09195,0,0,1,0,0,0,0
DB01105,DB05395,1,0,0,0,0,0,0
DB01105,DB01623,0,0,1,0,0,0,0
DB01105,DB08927,0,0,1,0,0,0,0
DB01105,DB04017,1,0,0,0,0,0,0
DB01105,DB12177,0,0,1,0,0,0,0
DB01105,DB11823,0,0,1,0,0,0,0
DB01105,DB13411,0,0,1,0,0,0,0
DB01105,DB04884,0,0,1,0,0,0,0
DB01105,DB00193,0,0,1,0,0,0,0
DB01105,DB12184,0,0,1,0,0,0,0
DB01105,DB09223,0,0,1,0,0,0,0
DB01105,DB00370,1,0,0,0,0,0,0
DB01105,DB00546,0,0,1,0,0,0,0
DB01105,DB09289,0,0,1,0,0,0,0
DB01105,DB12725,0,0,1,0,0,0,0
DB01105,DB00363,0,0,1,0,0,0,0
DB01105,DB06446,0,0,1,0,0,0,0
DB01105,DB14507,0,0,1,0,0,0,0
DB01105,DB01323,0,0,0,0,0,0,1
DB01105,DB06678,0,0,1,0,0,0,0
DB01105,DB11889,0,0,1,0,0,0,0
DB01105,DB12361,0,0,1,0,0,0,0
DB01105,DB00918,0,0,1,0,0,0,0
DB01105,DB13233,0,0,1,0,0,0,0
DB01105,DB00215,0,0,1,0,0,0,0
DB01105,DB09246,1,0,0,0,0,0,0
DB01105,DB01618,0,0,1,0,0,0,0
DB01105,DB01537,1,0,0,0,0,0,0
DB01105,DB09194,0,0,1,0,0,0,0
DB01105,DB06016,0,0,1,0,0,0,0
DB01105,DB09286,0,0,1,0,0,0,0
DB01105,DB00757,0,0,1,0,0,0,0
DB01105,DB09252,1,0,0,0,0,0,0
DB01105,DB00334,0,0,1,0,0,0,0
DB01105,DB12883,0,0,1,0,0,0,0
DB01105,DB01186,0,0,1,0,0,0,0
DB01105,DB12693,0,0,1,0,0,0,0
DB01105,DB00734,0,0,1,0,0,0,0
DB01105,DB06594,0,0,1,0,0,0,0
DB01105,DB00726,0,0,1,0,0,0,0
DB01105,DB13782,0,0,1,0,0,0,0
DB01105,DB00998,0,0,1,0,0,0,0
DB01105,DB00813,0,0,1,0,0,0,0
DB01105,DB01156,0,0,1,0,0,0,0
